Unnamed: 0,Total:,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Label,,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
"Adams County, Washington",,,,,,,,,,,
Estimate,"2,212",69,591,158,130,226,148,102,161,420,207
"Asotin County, Washington",,,,,,,,,,,
Estimate,"2,640",172,230,332,234,387,273,195,179,517,121
"Benton County, Washington",,,,,,,,,,,
Estimate,"24,125",937,"2,530","2,841","3,165","2,663","2,156","1,449","2,502","4,517","1,365"
"Chelan County, Washington",,,,,,,,,,,
Estimate,"11,116",691,"1,151","1,007","1,634","1,498",722,442,"1,014","1,891","1,066"
"Clallam County, Washington",,,,,,,,,,,
Estimate,"9,234",280,780,"1,328",897,847,670,482,"1,185","1,866",899
"Clark County, Washington",,,,,,,,,,,
Estimate,"62,839","1,654","4,864","7,546","7,752","8,050","5,697","4,568","6,091","13,274","3,343"
"Columbia County, Washington",,,,,,,,,,,
Estimate,450,54,21,108,11,55,37,11,15,70,68
"Cowlitz County, Washington",,,,,,,,,,,
Estimate,"14,503",408,"1,067","1,720","1,781","1,906","1,396","1,139","1,293","3,091",702
"Douglas County, Washington",,,,,,,,,,,
Estimate,"4,654",342,384,699,553,452,292,278,95,854,705
"Ferry County, Washington",,,,,,,,,,,
Estimate,721,77,54,87,41,33,44,47,66,101,171
"Franklin County, Washington",,,,,,,,,,,
Estimate,"8,526",521,902,903,951,862,835,584,730,"1,533",705
"Garfield County, Washington",,,,,,,,,,,
Estimate,227,9,41,10,16,10,30,0,10,39,62
"Grant County, Washington",,,,,,,,,,,
Estimate,"11,861",931,"1,199","1,750","1,324","1,098","1,079",662,639,"1,855","1,324"
"Grays Harbor County, Washington",,,,,,,,,,,
Estimate,"8,497",329,752,"1,148","1,073",830,560,543,900,"1,521",841
"Island County, Washington",,,,,,,,,,,
Estimate,"9,291",238,842,814,"1,350",918,"1,135",647,825,"1,885",637
"Jefferson County, Washington",,,,,,,,,,,
Estimate,"3,112",64,316,565,258,318,259,203,194,431,504
"King County, Washington",,,,,,,,,,,
Estimate,"401,313","15,460","36,924","53,568","54,386","48,377","35,643","26,496","32,446","83,511","14,502"
"Kitsap County, Washington",,,,,,,,,,,
Estimate,"31,981","1,141","2,270","3,796","3,782","3,925","3,489","2,454","2,653","6,947","1,524"
"Kittitas County, Washington",,,,,,,,,,,
Estimate,"7,402",272,420,"1,051",823,592,430,428,475,"2,284",627
"Klickitat County, Washington",,,,,,,,,,,
Estimate,"2,405",147,78,201,153,245,404,42,265,385,485
"Lewis County, Washington",,,,,,,,,,,
Estimate,"8,525",356,648,"1,017","1,051",876,875,390,781,"1,745",786
"Lincoln County, Washington",,,,,,,,,,,
Estimate,"1,004",96,132,105,148,94,44,16,42,80,247
"Mason County, Washington",,,,,,,,,,,
Estimate,"5,305",288,290,551,730,527,251,220,235,"1,360",853
"Okanogan County, Washington",,,,,,,,,,,
Estimate,"5,138",507,759,496,494,397,430,180,368,698,809
"Pacific County, Washington",,,,,,,,,,,
Estimate,"1,910",40,163,175,242,199,92,169,195,385,250
"Pend Oreille County, Washington",,,,,,,,,,,
Estimate,"1,374",168,57,134,102,68,101,89,124,198,333
"Pierce County, Washington",,,,,,,,,,,
Estimate,"121,139","3,077","7,639","14,063","16,708","13,715","11,967","9,113","12,071","26,999","5,787"
"San Juan County, Washington",,,,,,,,,,,
Estimate,"1,945",75,174,192,213,158,140,102,127,422,342
"Skagit County, Washington",,,,,,,,,,,
Estimate,"15,078",447,"1,304","1,665","1,483","1,709","1,765",824,"1,404","3,320","1,157"
"Skamania County, Washington",,,,,,,,,,,
Estimate,903,70,64,101,85,101,57,33,72,186,134
"Snohomish County, Washington",,,,,,,,,,,
Estimate,"96,712","2,276","6,252","11,127","12,912","12,365","10,858","6,655","8,340","22,115","3,812"
"Spokane County, Washington",,,,,,,,,,,
Estimate,"77,399","3,078","5,972","8,810","9,362","9,072","7,494","5,164","7,388","17,766","3,293"
"Stevens County, Washington",,,,,,,,,,,
Estimate,"3,745",330,330,436,362,324,313,356,171,540,583
"Thurston County, Washington",,,,,,,,,,,
Estimate,"37,865","1,056","2,439","4,385","4,806","4,120","4,239","2,255","2,891","10,028","1,646"
"Wahkiakum County, Washington",,,,,,,,,,,
Estimate,288,0,30,0,2,45,8,22,39,116,26
"Walla Walla County, Washington",,,,,,,,,,,
Estimate,"7,778",248,440,661,"1,007",922,533,715,810,"1,744",698
"Whatcom County, Washington",,,,,,,,,,,
Estimate,"33,729",851,"1,890","3,940","3,971","3,493","2,595","2,808","3,335","9,355","1,491"
"Whitman County, Washington",,,,,,,,,,,
Estimate,"9,840",292,839,865,795,612,386,586,832,"3,785",848
"Yakima County, Washington",,,,,,,,,,,
Estimate,"32,234","1,149","3,266","4,132","3,835","3,894","2,604","2,004","1,976","6,644","2,730"
